Var.Lab,Rot. Padrão,Coluna temporária,Nome Banco,Tipo de Dado,Novo Rótulo,2016,2017,2018,2019,2022
PND2T006N0,V1027,0,peso_domicilio_pessoas_sem_cal,REAL,Peso do domicílio e das pessoas,PND2T006N0,PND2T006N0,PND2T006N0,PND2T006N0,PND2T006N0
PND2T007N0,V1028,0,peso_domicilio_pessoas_com_cal,REAL,Peso do domicílio e das pessoas,PND2T007N0,PND2T007N0,PND2T007N0,PND2T007N0,PND2T007N0
PND2T008N0,V1029,0,projecao_populacao_por_niveis_geo,INT,Projeção da população por níveis geográficos,PND2T008N0,PND2T008N0,PND2T008N0,PND2T008N0,PND2T008N0
PND2T009N0,posest,0,dominios_de_projecao_geograficos,SMALLINT,Domínios de projeção geográficos,PND2T009N0,PND2T009N0,PND2T009N0,PND2T009N0,PND2T009N0
PND2T010N0,V2001,0,numero_pessoas_domicilio,SMALLINT,Número de pessoas no domicílio,PND2T010N0,PND2T010N0,PND2T010N0,PND2T010N0,PND2T010N0
PND2T011N0,V2003,0,numero_de_ordem,SMALLINT,Número de ordem,PND2T011N0,PND2T011N0,PND2T011N0,PND2T011N0,PND2T011N0
PND2T012N0,V2005,0,condicao_no_domicilio_v2005,SMALLINT,Condição no domicílio,PND2T012N0,PND2T012N0,PND2T012N0,PND2T012N0,PND2T012N0
PND2T013N0,V2007,0,sexo,SMALLINT,Sexo,PND2T013N0,PND2T013N0,PND2T013N0,PND2T013N0,PND2T013N0
PND2T014N0,V2008,0,dia_de_nascimento,SMALLINT,Dia de nascimento,PND2T014N0,PND2T014N0,PND2T014N0,PND2T014N0,PND2T014N0
PND2T015N0,V20081,0,mes_de_nascimento,SMALLINT,Mês de nascimento,PND2T015N0,PND2T015N0,PND2T015N0,PND2T015N0,PND2T015N0
PND2T016N0,V20082,0,ano_de_nascimento,SMALLINT,Ano de nascimento,PND2T016N0,PND2T016N0,PND2T016N0,PND2T016N0,PND2T016N0
PND2T017N0,V2009,0,idade_morador,SMALLINT,Idade do morador na data de referência,PND2T017N0,PND2T017N0,PND2T017N0,PND2T017N0,PND2T017N0
PND2T018N0,V2010,0,cor_raca,SMALLINT,Cor ou raça,PND2T018N0,PND2T018N0,PND2T018N0,PND2T018N0,PND2T018N0
PND2T019N0,V3001,0,sabe_ler_escrever,SMALLINT,... sabe ler e escrever?,PND2T019N0,PND2T019N0,PND2T019N0,PND2T019N0,PND2T019N0
PND2T020N0,V3002,0,frequenta_escola,SMALLINT,... frequenta escola?,PND2T020N0,PND2T020N0,PND2T020N0,PND2T020N0,PND2T020N0
PND2T021N0,V3002A,0,escola_que_frequenta,SMALLINT,A escola que ... frequenta é de,PND2T021N0,PND2T021N0,PND2T021N0,PND2T021N0,PND2T021N0
PND2T022N0,V3003,0,qual_curso_frequenta_sem_cal,SMALLINT,Qual é o curso que ... frequenta?,PND2T022N0,PND2T022N0,PND2T022N0,PND2T022N0,PND2T022N0
PND2T023N0,V3003A,0,qual_curso_frequenta_com_cal,SMALLINT,Qual é o curso que ... frequenta?,PND2T023N0,PND2T023N0,PND2T023N0,PND2T023N0,PND2T023N0
PND2T024N0,V3004,0,duracao_curso,SMALLINT,A duração deste curso que ... frequenta é de:,PND2T024N0,PND2T024N0,PND2T024N0,PND2T024N0,PND2T024N0
PND2T025N0,V3004A,0,curso_superior_e_de_graduacao_tecnologica,SMALLINT,Esse curso superior que .... frequenta é de graduação tecnológica?,PND2T025N0,PND2T025N0,PND2T025N0,PND2T025N0,PND2T025N0
PND2T026N0,V3005,0,esse_curso_frequenta_e_seriado,SMALLINT,Este curso que ... frequenta é seriado?,PND2T026N0,PND2T026N0,PND2T026N0,PND2T026N0,PND2T026N0
PND2T027N0,V3005A,0,curso_que_frequenta_dividido_em,SMALLINT,Esse curso que .... frequenta é dividido em:,PND2T027N0,PND2T027N0,PND2T027N0,PND2T027N0,PND2T027N0
PND2T028N0,V3006,0,ano_serie_semestre_que_frequenta,SMALLINT,Qual é o ano/série/semestre que ... frequenta?,PND2T028N0,PND2T028N0,PND2T028N0,PND2T028N0,PND2T028N0
PND2T029N0,V3006A,0,etapa_do_fundamental_que_frequenta,SMALLINT,Qual é a etapa do ensino fundamental que ... frequenta?,PND2T029N0,PND2T029N0,PND2T029N0,PND2T029N0,PND2T029N0
PND2T030N0,V3006B,0,curso_que_frequenta,SMALLINT,Este curso que ... frequenta é:,PND2T030N0,PND2T030N0,PND2T030N0,PND2T030N0,PND2T030N0
PND2T031N0,V3006C,0,que_turno_frequenta,SMALLINT,Em que turno ... frequenta este curso?,PND2T031N0,PND2T031N0,PND2T031N0,PND2T031N0,PND2T031N0
PND2T032N0,V3007,0,ja_concluiu_outro_curso_graduacao,SMALLINT,... já concluiu algum outro curso de graduação?,PND2T032N0,PND2T032N0,PND2T032N0,PND2T032N0,PND2T032N0
PND2T033N0,V3008,0,anteriormente_frequentou_escola,SMALLINT,Anteriormente ... frequentou escola?,PND2T033N0,PND2T033N0,PND2T033N0,PND2T033N0,PND2T033N0
PND2T034N0,V3009,0,curso_mais_elevado_que_frequentou_anteriormente,SMALLINT,Qual foi o curso mais elevado que ... frequentou anteriormente?,PND2T034N0,PND2T034N0,PND2T034N0,PND2T034N0,PND2T034N0
PND2T035N0,V3009A,0,curso_mais_elevado_que_frequentou,SMALLINT,Qual foi o curso mais elevado que ... frequentou?,PND2T035N0,PND2T035N0,PND2T035N0,PND2T035N0,PND2T035N0
PND2T036N0,V3010,0,duração_deste_curso_que_frequentou,SMALLINT,A duração deste curso que ... frequentou era de:,PND2T036N0,PND2T036N0,PND2T036N0,PND2T036N0,PND2T036N0
PND2T037N0,V3011,0,curso_frequentou_era_seriado,SMALLINT,Este curso que ... frequentou era seriado?,PND2T037N0,PND2T037N0,PND2T037N0,PND2T037N0,PND2T037N0
PND2T038N0,V3010A,0,curso_superior_frequentou_era_graduação_tecnologica,SMALLINT,Este curso superior que ... frequentou era de graduação tecnológica?,PND2T038N0,PND2T038N0,PND2T038N0,PND2T038N0,PND2T038N0
PND2T039N0,V3011A,0,curso_frequentou_dividido_em,SMALLINT,Esse curso que .... frequentou era dividido em:,PND2T039N0,PND2T039N0,PND2T039N0,PND2T039N0,PND2T039N0
PND2T040N0,V3012,0,concluiu_com_aprovacao_pelo_menos_primeira_serie,SMALLINT,... concluiu com aprovação  pelo menos a primeira série deste curso que frequentou?,PND2T040N0,PND2T040N0,PND2T040N0,PND2T040N0,PND2T040N0
PND2T041N0,V3013,0,ultimo_ano_serie_semestre_que_concluiu_com_aprovacao,SMALLINT,Qual foi o último ano/série/semestre que ... concluiu com aprovação  neste curso que frequentou,PND2T041N0,PND2T041N0,PND2T041N0,PND2T041N0,PND2T041N0
PND2T042N0,V3013A,0,etapa_de_ensino_fundamental_que_frequentou,SMALLINT,Qual foi a etapa de ensino fundamental que ... frequentou?,PND2T042N0,PND2T042N0,PND2T042N0,PND2T042N0,PND2T042N0
PND2T043N0,V3013B,0,concluiu_anos_iniciais_deste_curso_frequentou,SMALLINT,... Concluiu os anos iniciais deste curso que frequentou?,PND2T043N0,PND2T043N0,PND2T043N0,PND2T043N0,PND2T043N0
PND2T044N0,V3014,0,concluiu_este_curso_que_frequentou,SMALLINT,... concluiu este curso que frequentou,PND2T044N0,PND2T044N0,PND2T044N0,PND2T044N0,PND2T044N0
PND2T045N0,V3017,0,curso_que_frequentou_foi_realizado,SMALLINT,Este curso que ... frequentou foi realizado:,PND2T045N0,PND2T045N0,PND2T045N0,PND2T045N0,PND2T045N0
PND2T046N0,V3017A,0,graduacao_frequentou_anteriomente_foi_realizado,SMALLINT,o curso de graduação que frequentou anteriomente foi realizado:,PND2T046N0,PND2T046N0,PND2T046N0,PND2T046N0,PND2T046N0
PND2T047N0,V3018,0,ensino_medio_que_frequentou_anteriormente_foi_realizado,SMALLINT,O curso do ensino médio (2° grau ou de médio 2° ciclo) que ... frequentou anteriormente foi realizado:,PND2T047N0,PND2T047N0,PND2T047N0,PND2T047N0,PND2T047N0
PND2T048N0,V3019,0,frequenta_curso_tecnico_de_nivel_medio,SMALLINT,... frequenta curso técnico de nível médio?,PND2T048N0,PND2T048N0,PND2T048N0,PND2T048N0,PND2T048N0
PND2T049N0,V3019A,0,frequenta_curso_tecnico_de_nivel_medio_ou_curso_normal,SMALLINT,... frequenta curso técnico de nível médio ou curso normal (magistério)?,PND2T049N0,PND2T049N0,PND2T049N0,PND2T049N0,PND2T049N0
PND2T050N0,V3020,0,curso_tecnico_que_frequenta_e_feito,SMALLINT,Este curso técnico que ... frequenta é feito:,PND2T050N0,PND2T050N0,PND2T050N0,PND2T050N0,PND2T050N0
PND2T051N0,V3020B,0,curso_tecnicou_normal_que_frequenta_e,SMALLINT,Este curso técnico ou normal (magistério) que ... frequenta é:,PND2T051N0,PND2T051N0,PND2T051N0,PND2T051N0,PND2T051N0
PND2T052N0,V3020C,0,curso_tecnico_ou_curso_normal_que_frequenta_e_feito_em,SMALLINT,Esse curso técnico ou curso normal (magistério) que frequenta é feito em:,PND2T052N0,PND2T052N0,PND2T052N0,PND2T052N0,PND2T052N0
PND2T053N0,V3021,0,frequentou_anteriormente_curso_tecnico_de_nivel_medio,SMALLINT,... frequentou anteriormente curso técnico de nível médio?,PND2T053N0,PND2T053N0,PND2T053N0,PND2T053N0,PND2T053N0
PND2T054N0,V3021A,0,anteriomente_frequentou_curso_tecnico_de_nivel_medio,SMALLINT,Anteriomente ... frequentou curso técnico de nível médioou curso normal (magistério)?,PND2T054N0,PND2T054N0,PND2T054N0,PND2T054N0,PND2T054N0
PND2T055N0,V3022,0,tecnico_que_frequentou_anteriormente_foi_feito,SMALLINT,Este curso técnico que ... frequentou anteriormente foi feito:,PND2T055N0,PND2T055N0,PND2T055N0,PND2T055N0,PND2T055N0
PND2T056N0,V3022A,0,que_ano_iniciou_tecnico_que_frequentou_anteriormente,SMALLINT,Em que ano ... iniciou este curso técnico que frequentou anteriormente?,PND2T056N0,PND2T056N0,PND2T056N0,PND2T056N0,PND2T056N0
PND2T057N0,V3022C,0,tecnico_ou_normal_que_frequentou_era,SMALLINT,Este curso técnico ou normal (magistério) que ... frequentou era:,PND2T057N0,PND2T057N0,PND2T057N0,PND2T057N0,PND2T057N0
PND2T058N0,V3022D,0,tecnico_ou_curso_normal_que_frequentou_era_feito_em,SMALLINT,Esse curso técnico ou curso normal (magistério) que frequentou era feito em:,PND2T058N0,PND2T058N0,PND2T058N0,PND2T058N0,PND2T058N0
PND2T059N0,V3022E,0,em_que_ano_iniciou_este_tecnico_ou_curso_normal,SMALLINT,Em que ano ... iniciou este curso técnico ou curso normal (magistério) que frequentou?,PND2T059N0,PND2T059N0,PND2T059N0,PND2T059N0,PND2T059N0
PND2T060N0,V3023,0,concluiu_este_curso_tecnico,SMALLINT,... concluiu este curso técnico que frequentou anteriormente?,PND2T060N0,PND2T060N0,PND2T060N0,PND2T060N0,PND2T060N0
PND2T061N0,V3023a,0,concluiu_este_curso_tecnico_ou_normal,SMALLINT,... concluiu este curso técnico ou normal (magistério) que frequentou?,PND2T061N0,PND2T061N0,PND2T061N0,PND2T061N0,PND2T061N0
PND2T062N0,V3024,0,frequenta_curso_pre_vestibular,SMALLINT,...frequenta curso pré-vestibular?,PND2T062N0,PND2T062N0,PND2T062N0,PND2T062N0,PND2T062N0
PND2T063N0,V3025,0,frequenta_curso_de_extensao_ou_capacitacao_de_nivel_superior,SMALLINT,...frequenta algum curso de extensão ou capacitação de nível superior?,PND2T063N0,PND2T063N0,PND2T063N0,PND2T063N0,PND2T063N0
PND2T064N0,V3026,0,frequenta_algum_curso_de_qualificacao_profissional,SMALLINT,...frequenta algum curso de qualificação profissional?,PND2T064N0,PND2T064N0,PND2T064N0,PND2T064N0,PND2T064N0
PND2T065N0,V3026A,0,curso_qualificacao_profissional_que_frequenta_e_de,SMALLINT,Este curso qualificação profissional que ... frequenta é de:,PND2T065N0,PND2T065N0,PND2T065N0,PND2T065N0,PND2T065N0
PND2T066N0,V3028,0,frequentou_algum_curso_de_extensao_de_nivel_superior,SMALLINT,Anteriormente  ... frequentou algum curso de extensão ou capacitação de nível superior?,PND2T066N0,PND2T066N0,PND2T066N0,PND2T066N0,PND2T066N0
PND2T067N0,V3029,0,frequentou_algum_curso_de_qualificacao_profissional,SMALLINT,Anteriormente  ... frequentou algum curso de qualificação profissional?,PND2T067N0,PND2T067N0,PND2T067N0,PND2T067N0,PND2T067N0
PND2T068N0,V3029A,0,que_ano_iniciou_o_ultimo_curso_de_qualificacao_sem_cal,SMALLINT,Em que ano ... Iniciou o (último) curso de qualificação profissional que frequentou anteriormente?,PND2T068N0,PND2T068N0,PND2T068N0,PND2T068N0,PND2T068N0
PND2T069N0,V3030,0,que_ano_iniciou_o_ultimo_curso_de_qualificacao_com_cal,SMALLINT,Em que ano ... Iniciou o (último) curso de qualificação profissional que frequentou anteriormente?,PND2T069N0,PND2T069N0,PND2T069N0,PND2T069N0,PND2T069N0
PND2T070N0,V3030A,0,curso_de_qualificacao_profissional_que_frequentou_era_feito_em,SMALLINT,Este curso de qualificação profissional que ... Frequentou era feito em:,PND2T070N0,PND2T070N0,PND2T070N0,PND2T070N0,PND2T070N0
PND2T071N0,V3032,0,concluiu_este_ultimo_curso_que_frequentou,SMALLINT,Concluiu este (último) curso que ... frequentou?,PND2T071N0,PND2T071N0,PND2T071N0,PND2T071N0,PND2T071N0
PND2T072N0,V3033,0,motivo_nao_frequenta_escola_ou_creche,SMALLINT,Por que motivo ... não frequenta escola ou creche?,PND2T072N0,PND2T072N0,PND2T072N0,PND2T072N0,PND2T072N0
PND2T073N0,V3033A,0,principal_motivo_nao_frequentar_escola_ou_creche,SMALLINT,Qual o principal motivo para ... não frequentar escola ou creche?,PND2T073N0,PND2T073N0,PND2T073N0,PND2T073N0,PND2T073N0
PND2T074N0,V3033B,0,fica_com_quem_maior_parte_do_tempo,SMALLINT,Normalmente  de segunda a sexta  ... fica com quem na maior parte do tempo?,PND2T074N0,PND2T074N0,PND2T074N0,PND2T074N0,PND2T074N0
PND2T075N0,V3034,0,por_que_motivo_nao_frequenta_escola,SMALLINT,Por que motivo ... não frequenta escola?,PND2T075N0,PND2T075N0,PND2T075N0,PND2T075N0,PND2T075N0
PND2T076N0,V3034A,0,idade_deixou_de_frequentar_escola_curso_superior,SMALLINT,Com que idade ... deixou de frequentar escola /o curso superior pela última vez?,PND2T076N0,PND2T076N0,PND2T076N0,PND2T076N0,PND2T076N0
PND2T077N0,V3034B,0,principal_motivo_ter_deixado_a_escola_curso_superior,SMALLINT,Na época  qual foi o principal motivo de ter deixado de frequentar a escola/ o curso superior? ,PND2T077N0,PND2T077N0,PND2T077N0,PND2T077N0,PND2T077N0
PND2T078N0,V3034C,0,principal_motivo_de_nao_nunca_ter_frequentar_escola,SMALLINT,Atualmente  qual o principal motivo de não frequentar escola/curso superior ou outro curso (nível técnico  qualificação profissional ou pré-vestibular)?,PND2T078N0,PND2T078N0,PND2T078N0,PND2T078N0,PND2T078N0
PND2T079N0,V4001,0,trabalhou_em_alguma_atividade_remunerada_em_dinheiro,SMALLINT,Na semana de ... a ... (semana de referência)  ... trabalhou ou estagiou  durante pelo menos 1 hora  em alguma atividade remunerada em dinheiro?,PND2T079N0,PND2T079N0,PND2T079N0,PND2T079N0,PND2T079N0
PND2T080N0,V4002,0,trabalhou_em_alguma_atividade_remunerada_em_produtos,SMALLINT,Na semana de ... a ... (semana de referência)  ... trabalhou ou estagiou  durante pelo menos 1 hora  em alguma atividade remunerada em produtos  mercadorias  moradia  alimentação  etc.?,PND2T080N0,PND2T080N0,PND2T080N0,PND2T080N0,PND2T080N0
PND2T081N0,V4003,0,fez_algum_bico_em_alguma_atividade_ocasional_remunerada,SMALLINT,Na semana de ... a ... (semana de referência)  ... fez algum bico ou trabalhou em alguma atividade ocasional remunerada durante pelo menos 1 hora?  ,PND2T081N0,PND2T081N0,PND2T081N0,PND2T081N0,PND2T081N0
PND2T082N0,V4004,0,ajudou_sem_receber_no_trabalho_remunerado_de_morador_do_domi,SMALLINT,Na semana de ... a ... (semana de referência)  ... ajudou durante pelo menos 1 hora  sem receber pagamento  no trabalho remunerado de algum morador do domicílio ou de parente? ,PND2T082N0,PND2T082N0,PND2T082N0,PND2T082N0,PND2T082N0
PND2T083N0,V4005,0,tinha_algum_trabalho_remunerado_do_qual_estava_afastado,SMALLINT,Na semana de ... a ... (semana de referência)  ... tinha algum trabalho remunerado do qual estava temporariamente afastado?,PND2T083N0,PND2T083N0,PND2T083N0,PND2T083N0,PND2T083N0
PND2T084N0,V4006,0,por_que_motivo_estava_afastado_desse_trabalho_sem_cal,SMALLINT,Na semana de ... a .... (semana de referência)  por que motivo ... estava afastado desse trabalho?,PND2T084N0,PND2T084N0,PND2T084N0,PND2T084N0,PND2T084N0
PND2T085N0,V4006A,0,por_que_motivo_estava_afastado_desse_trabalho_com_cal,SMALLINT,Na semana de ... a .... (semana de referência)  por que motivo ... estava afastado desse trabalho?,PND2T085N0,PND2T085N0,PND2T085N0,PND2T085N0,PND2T085N0
PND2T086N0,V4007,0,continuou_a_receber_ao_menos_uma_parte_do_pagamento,SMALLINT,Durante o tempo de afastamento  ... continuou a receber ao menos uma parte do pagamento?,PND2T086N0,PND2T086N0,PND2T086N0,PND2T086N0,PND2T086N0
PND2T087N0,V4008,0,fazia_quanto_tempo_que_estava_afastado_desse_trabalho,SMALLINT,Em .../.../...(último dia da semana de referência)  fazia quanto tempo que ... estava afastado desse trabalho?,PND2T087N0,PND2T087N0,PND2T087N0,PND2T087N0,PND2T087N0
PND2T088N0,V40081,0,tempo_que_estava_afastado_De_um_a_menos_de_um_ano,SMALLINT, Tempo que estava afastado (De 1 mês a menos de 1 ano) ,PND2T088N0,PND2T088N0,PND2T088N0,PND2T088N0,PND2T088N0
PND2T089N0,V40082,0,tempo_que_estava_afastado_De_um_ano_a_menos_de_dois_anos,SMALLINT,Tempo que estava afastado (De 1 ano a menos de 2 anos) ,PND2T089N0,PND2T089N0,PND2T089N0,PND2T089N0,PND2T089N0
PND2T090N0,V40083,0,tempo_que_estava_afastado_de_dois_anos_a_noventa_e_oito_anos,SMALLINT,Tempo que estava afastado (de 02 anos a 98 anos) ,PND2T090N0,PND2T090N0,PND2T090N0,PND2T090N0,PND2T090N0
PND2T091N0,V4009,0,quantos_trabalhos_tinha,SMALLINT,Quantos trabalhos ... tinha na semana de ... a ... (semana de referência ?,PND2T091N0,PND2T091N0,PND2T091N0,PND2T091N0,PND2T091N0
PND2T092N0,V4010,0,codigo_da_ocupacao_v4010,SMALLINT,Código da ocupação (cargo ou função),PND2T092N0,PND2T092N0,PND2T092N0,PND2T092N0,PND2T092N0
PND2T093N0,V4012,0,nesse_trabalho_era,SMALLINT,Nesse trabalho  ... era: ,PND2T093N0,PND2T093N0,PND2T093N0,PND2T093N0,PND2T093N0
PND2T094N0,V40121,0,trabalhador_nao_remunerado,SMALLINT,Trabalhador não remunerado,PND2T094N0,PND2T094N0,PND2T094N0,PND2T094N0,PND2T094N0
PND2T095N0,V4013,0,codigo_da_principal_atividade_desse_negocio_V4013,INT,Código da principal atividade desse negócio/empresa ,PND2T095N0,PND2T095N0,PND2T095N0,PND2T095N0,PND2T095N0
PND2T096N0,V40132,0,qual_a_secao_da_atividade_V40132,SMALLINT,Qual a seção da atividade?,PND2T096N0,PND2T096N0,PND2T096N0,PND2T096N0,PND2T096N0
PND2T097N0,V40132A,0,qual_a_secao_da_atividade_V40132A,SMALLINT,Qual a seção da atividade?,PND2T097N0,PND2T097N0,PND2T097N0,PND2T097N0,PND2T097N0
PND2T098N0,V4014,0,esse_trabalho_era_na_area_V4014,SMALLINT,Esse trabalho era na área:,PND2T098N0,PND2T098N0,PND2T098N0,PND2T098N0,PND2T098N0
PND2T099N0,V4015,0,teve_ajuda_de_pelo_menos_um_trabalhador_nao_remunerado,SMALLINT,Na semana de ... a ... (semana de referência)  ... teve ajuda  nesse trabalho  de pelo menos um trabalhador não remunerado que era membro do domicílio ou parente?,PND2T099N0,PND2T099N0,PND2T099N0,PND2T099N0,PND2T099N0
PND2T100N0,V40151,0,quantos_trabalhadores_nao_remunerados,SMALLINT,Quantos trabalhadores não remunerados ?,PND2T100N0,PND2T100N0,PND2T100N0,PND2T100N0,PND2T100N0
PND2T101N0,V401511,0,um_a_cinco_trabalhadores_nao_remunerados,SMALLINT,1 a 5 trabalhadores não remunerados,PND2T101N0,PND2T101N0,PND2T101N0,PND2T101N0,PND2T101N0
PND2T102N0,V401512,0,seis_a_dez_trabalhadores_nao_remunerados,SMALLINT,6 a 10 trabalhadores não remunerados,PND2T102N0,PND2T102N0,PND2T102N0,PND2T102N0,PND2T102N0
PND2T103N0,V4016,0,quantos_empregados_trabalhavam_nesse_negocio_que_tinha,SMALLINT,Na semana de ... a ... (semana de referência)  quantos empregados trabalhavam nesse negócio/empresa que ... tinha ?,PND2T103N0,PND2T103N0,PND2T103N0,PND2T103N0,PND2T103N0
PND2T104N0,V40161,0,um_a_cinco_empregados,SMALLINT,1 a 5 empregados,PND2T104N0,PND2T104N0,PND2T104N0,PND2T104N0,PND2T104N0
PND2T105N0,V40162,0,seis_a_dez_empregados,SMALLINT,6 a 10 empregados,PND2T105N0,PND2T105N0,PND2T105N0,PND2T105N0,PND2T105N0
PND2T106N0,V40163,0,onze_a_cinquenta_empregados,SMALLINT,11 a 50 empregados,PND2T106N0,PND2T106N0,PND2T106N0,PND2T106N0,PND2T106N0
PND2T107N0,V4017,0,tinha_pelo_menos_um_socio_que_trabalhava_nesse_negocio,SMALLINT,Na semana de ... a ... (semana de  referência)  ... tinha pelo menos um sócio que trabalhava nesse negócio/empresa ?,PND2T107N0,PND2T107N0,PND2T107N0,PND2T107N0,PND2T107N0
PND2T108N0,V40171,0,quantos,SMALLINT,Quantos?,PND2T108N0,PND2T108N0,PND2T108N0,PND2T108N0,PND2T108N0
PND2T109N0,V401711,0,um_a_cinco_socios,SMALLINT,1 a 5 sócios,PND2T109N0,PND2T109N0,PND2T109N0,PND2T109N0,PND2T109N0
PND2T110N0,V4018,0,contando_com_quantas_pessoas_trabalhavam_nesse_negocio,SMALLINT,Na semana de ... a ... (semana de referência)  contando com ...  quantas pessoas trabalhavam nesse negócio/empresa ?,PND2T110N0,PND2T110N0,PND2T110N0,PND2T110N0,PND2T110N0
PND2T111N0,V40181,0,um_a_cinco_pessoas,SMALLINT,1 a 5 pessoas,PND2T111N0,PND2T111N0,PND2T111N0,PND2T111N0,PND2T111N0
PND2T112N0,V40182,0,seis_a_dez_pessoas,SMALLINT,6 a 10 pessoas,PND2T112N0,PND2T112N0,PND2T112N0,PND2T112N0,PND2T112N0
PND2T113N0,V40183,0,onze_a_cinquenta_pessoas,SMALLINT,11 a 50 pessoas,PND2T113N0,PND2T113N0,PND2T113N0,PND2T113N0,PND2T113N0
PND2T114N0,V4019,0,era_registrado_no_Cadastro_Nacional_da_Pessoa_Juridica,SMALLINT,Esse negócio/empresa era registrado no Cadastro Nacional da Pessoa Jurídica - CNPJ?,PND2T114N0,PND2T114N0,PND2T114N0,PND2T114N0,PND2T114N0
PND2T115N0,V4020,0,em_que_tipo_de_local_funcionava_esse_negocio,SMALLINT,Em que tipo de local funcionava esse negócio/empresa ?,PND2T115N0,PND2T115N0,PND2T115N0,PND2T115N0,PND2T115N0
PND2T116N0,V4021,0,exercia_o_trabalho_em_estabelecimento_desse_negocio,SMALLINT,... exercia normalmente o trabalho em estabelecimento desse negócio/empresa ?,PND2T116N0,PND2T116N0,PND2T116N0,PND2T116N0,PND2T116N0
PND2T117N0,V4022,0,entao_onde_exercia_esse_trabalho,SMALLINT,Então onde ... exercia normalmente esse trabalho ?,PND2T117N0,PND2T117N0,PND2T117N0,PND2T117N0,PND2T117N0
PND2T118N0,V4024,0,prestava_servico_domestico_em_mais_de_um_domicilio,SMALLINT,No período de ... a ... (período de referência de 30 dias) ... prestava serviço doméstico em mais de um domicílio ?,PND2T118N0,PND2T118N0,PND2T118N0,PND2T118N0,PND2T118N0
PND2T119N0,V4025,0,nesse_trabalho_era_contratado_como_empregado_temporario,SMALLINT,Nesse trabalho  ... era contratado(a) como empregado temporário ?,PND2T119N0,PND2T119N0,PND2T119N0,PND2T119N0,PND2T119N0
PND2T120N0,V4026,0,era_contratado_por_pessoa_responsavel_pela_empresa_que_trabalh,SMALLINT,Na semana de ... a ... (semana de referência)  ... era contratado(a) somente por pessoa responsável pelo negócio/empresa em que trabalhava ?,PND2T120N0,PND2T120N0,PND2T120N0,PND2T120N0,PND2T120N0
PND2T121N0,V4027,0,era_contratado_somente_por_intermediario_ empreiteiro,SMALLINT,"Na semana de ... a ... (semana de referência) era contratado(a) somente por intermediário (empresa empreiteira  empreiteiro  ""gato""  etc.) ?",PND2T121N0,PND2T121N0,PND2T121N0,PND2T121N0,PND2T121N0
PND2T122N0,V4028,0,nesse_trabalho_era_servidor_publico_estatutario,SMALLINT,Nesse trabalho  ... era servidor público estatutário (federal  estadual ou municipal) ?,PND2T122N0,PND2T122N0,PND2T122N0,PND2T122N0,PND2T122N0
PND2T123N0,V4029,0,nesse_trabalho_tinha_carteira_de_trabalho_assinada,SMALLINT,Nesse trabalho  ... tinha carteira de trabalho assinada ?,PND2T123N0,PND2T123N0,PND2T123N0,PND2T123N0,PND2T123N0
PND2T124N0,V4032,0,era_contribuinte_de_instituto_de_previdencia_por_esse_trabalho,SMALLINT,Era contribuinte de instituto de previdência por esse trabalho ?,PND2T124N0,PND2T124N0,PND2T124N0,PND2T124N0,PND2T124N0
PND2T125N0,V4033,0,qual_era_o_rendimento_bruto_mensal_que_fazia,SMALLINT,Qual era o rendimento bruto mensal que ... recebia/fazia  normalmente nesse trabalho? (variável auxiliar),PND2T125N0,PND2T125N0,PND2T125N0,PND2T125N0,PND2T125N0
