,,2016 a 2018,,2019 a 2023,,,
COD_CAPITAL,Capital,11,Município de Porto Velho (RO),11,Município de Porto Velho (RO),VERDADEIRO,VERDADEIRO
,,12,Município de Rio Branco (AC),12,Município de Rio Branco (AC),VERDADEIRO,VERDADEIRO
,,13,Município de Manaus (AM),13,Município de Manaus (AM),VERDADEIRO,VERDADEIRO
,,14,Município de Boa Vista (RR),14,Município de Boa Vista (RR),VERDADEIRO,VERDADEIRO
,,15,Município de Belém (PA),15,Município de Belém (PA),VERDADEIRO,VERDADEIRO
,,16,Município de Macapá (AP),16,Município de Macapá (AP),VERDADEIRO,VERDADEIRO
,,17,Município de Palmas (TO),17,Município de Palmas (TO),VERDADEIRO,VERDADEIRO
,,21,Município de São Luís (MA),21,Município de São Luís (MA),VERDADEIRO,VERDADEIRO
,,22,Município de Teresina (PI),22,Município de Teresina (PI),VERDADEIRO,VERDADEIRO
,,23,Município de Fortaleza (CE),23,Município de Fortaleza (CE),VERDADEIRO,VERDADEIRO
,,24,Município de Natal (RN),24,Município de Natal (RN),VERDADEIRO,VERDADEIRO
,,25,Município de João Pessoa (PB),25,Município de João Pessoa (PB),VERDADEIRO,VERDADEIRO
,,26,Município de Recife (PE),26,Município de Recife (PE),VERDADEIRO,VERDADEIRO
,,27,Município de Maceió (AL),27,Município de Maceió (AL),VERDADEIRO,VERDADEIRO
,,28,Município de Aracaju (SE),28,Município de Aracaju (SE),VERDADEIRO,VERDADEIRO
,,29,Município de Salvador (BA),29,Município de Salvador (BA),VERDADEIRO,VERDADEIRO
,,31,Município de Belo Horizonte (MG),31,Município de Belo Horizonte (MG),VERDADEIRO,VERDADEIRO
,,32,Município de Vitória (ES),32,Município de Vitória (ES),VERDADEIRO,VERDADEIRO
,,33,Município de Rio de Janeiro (RJ),33,Município de Rio de Janeiro (RJ),VERDADEIRO,VERDADEIRO
,,35,Município de São Paulo (SP),35,Município de São Paulo (SP),VERDADEIRO,VERDADEIRO
,,41,Município de Curitiba (PR),41,Município de Curitiba (PR),VERDADEIRO,VERDADEIRO
,,42,Município de Florianópolis (SC),42,Município de Florianópolis (SC),VERDADEIRO,VERDADEIRO
,,43,Município de Porto Alegre (RS),43,Município de Porto Alegre (RS),VERDADEIRO,VERDADEIRO
,,50,Município de Campo Grande (MS),50,Município de Campo Grande (MS),VERDADEIRO,VERDADEIRO
,,51,Município de Cuiabá (MT),51,Município de Cuiabá (MT),VERDADEIRO,VERDADEIRO
,,52,Município de Goiânia (GO),52,Município de Goiânia (GO),VERDADEIRO,VERDADEIRO
,,53,Município de Brasília (DF),53,Município de Brasília (DF),VERDADEIRO,VERDADEIRO
COD_RM_RIDE,RM_RIDE,13,Região Metropolitana de Manaus (AM),13,Região Metropolitana de Manaus (AM),VERDADEIRO,VERDADEIRO
,,15,Região Metropolitana de Belém (PA),15,Região Metropolitana de Belém (PA),VERDADEIRO,VERDADEIRO
,,16,Região Metropolitana de Macapá (AP),16,Região Metropolitana de Macapá (AP),VERDADEIRO,VERDADEIRO
,,21,"Região Metropolitana de Grande São
Luís (MA)",21,"Região Metropolitana de Grande São
Luís (MA)",VERDADEIRO,VERDADEIRO
,,22,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",22,"Região Administrativa Integrada
de Desenvolvimento da Grande Teresina (PI)",VERDADEIRO,VERDADEIRO
,,23,Região Metropolitana de Fortaleza (CE),23,Região Metropolitana de Fortaleza (CE),VERDADEIRO,VERDADEIRO
,,24,Região Metropolitana de Natal (RN),24,Região Metropolitana de Natal (RN),VERDADEIRO,VERDADEIRO
,,25,Região Metropolitana de João Pessoa (PB),25,Região Metropolitana de João Pessoa (PB),VERDADEIRO,VERDADEIRO
,,26,Região Metropolitana de Recife (PE),26,Região Metropolitana de Recife (PE),VERDADEIRO,VERDADEIRO
,,27,Região Metropolitana de Maceió (AL),27,Região Metropolitana de Maceió (AL),VERDADEIRO,VERDADEIRO
,,28,Região Metropolitana de Aracaju (SE),28,Região Metropolitana de Aracaju (SE),VERDADEIRO,VERDADEIRO
,,29,Região Metropolitana de Salvador (BA),29,Região Metropolitana de Salvador (BA),VERDADEIRO,VERDADEIRO
,,31,Região Metropolitana de Belo Horizonte (MG),31,Região Metropolitana de Belo Horizonte (MG),VERDADEIRO,VERDADEIRO
,,32,Região Metropolitana de Grande Vitória (ES),32,Região Metropolitana de Grande Vitória (ES),VERDADEIRO,VERDADEIRO
,,33,Região Metropolitana de Rio de Janeiro (RJ),33,Região Metropolitana de Rio de Janeiro (RJ),VERDADEIRO,VERDADEIRO
,,35,Região Metropolitana de São Paulo (SP),35,Região Metropolitana de São Paulo (SP),VERDADEIRO,VERDADEIRO
,,41,Região Metropolitana de Curitiba (PR),41,Região Metropolitana de Curitiba (PR),VERDADEIRO,VERDADEIRO
,,42,Região Metropolitana de Florianópolis (SC),42,Região Metropolitana de Florianópolis (SC),VERDADEIRO,VERDADEIRO
,,43,Região Metropolitana de Porto Alegre (RS),43,Região Metropolitana de Porto Alegre (RS),VERDADEIRO,VERDADEIRO
,,51,Região Metropolitana de Vale do Rio Cuiabá (MT),51,Região Metropolitana de Vale do Rio Cuiabá (MT),VERDADEIRO,VERDADEIRO
,,52,Região Metropolitana de Goiânia (GO),52,Região Metropolitana de Goiânia (GO),VERDADEIRO,VERDADEIRO
UPA,UPA,,UF (2) + Número Sequencial (6) + DV (1),,UF (2) + Número Sequencial (6) + DV (1),VERDADEIRO,VERDADEIRO
ESTRATO,Estrato,,As 2 primeiras posições representam o código da Unidade da Federação,,As 2 primeiras posições representam o código da Unidade da Federação,VERDADEIRO,VERDADEIRO
PND2T001N0,V1008,01 a 14,Número do domicílio,01 a 14,Número do domicílio,VERDADEIRO,VERDADEIRO
PND2T002N0,V1014,01 a 99,Grupo de amostra,01 a 99,Grupo de amostra,VERDADEIRO,VERDADEIRO
PND2T003N0,V1016,1 a 5,Número da entrevista (1 a 5),1 a 5,Número da entrevista (1 a 5),VERDADEIRO,VERDADEIRO
PND2T004N0,V1022,1,Urbana,1,Urbana,VERDADEIRO,VERDADEIRO
,,2,Rural,2,Rural,VERDADEIRO,VERDADEIRO
PND2T005N0,V1023,1,Capital,1,Capital,VERDADEIRO,VERDADEIRO
,,2,"Resto da RM (Região Metropolitana, excluindo a capital)",2,"Resto da RM (Região Metropolitana, excluindo a capital)",VERDADEIRO,VERDADEIRO
,,3,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital) ",3,"Resto da RIDE (Região Integrada de Desenvolvimento Econômico, excluindo a capital) ",VERDADEIRO,VERDADEIRO
,,4,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",4,"Resto da UF  (Unidade da Federação, excluindo a região metropolitana e a RIDE)",VERDADEIRO,VERDADEIRO
PND2T006N0,V1027,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista sem calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista sem calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T007N0,V1028,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,6 dígitos e 8 casas decimais,Peso trimestral com correção de não entrevista com calibração pela projeção de população,VERDADEIRO,VERDADEIRO
PND2T008N0,V1029,,Projeção da população do trimestre por níveis geográficos (referência: mês do meio),,Projeção da população do trimestre por níveis geográficos (referência: mês do meio),VERDADEIRO,VERDADEIRO
PND2T281N0,V1033,,Projeção da população do trimestre por sexo e idade (referência: mês do meio),,Projeção da população do trimestre por sexo e idade (referência: mês do meio),VERDADEIRO,VERDADEIRO
PND2T009N0,posest,,"As 2 primeiras posições representam o código da Unidade da Federação e a última, o tipo de área. UF(2) + V1023(1)",,"As 2 primeiras posições representam o código da Unidade da Federação e a última, o tipo de área. UF(2) + V1023(1)",VERDADEIRO,VERDADEIRO
PND2T282N0,posest_sxi,,A primeira posição representa o sexo (1- Homens; 2-Mulheres) e as 2 últimas representam os grupos etários. Sexo(1) + Idade(2),,A primeira posição representa o sexo (1- Homens; 2-Mulheres) e as 2 últimas representam os grupos etários. Sexo(1) + Idade(2),VERDADEIRO,VERDADEIRO
Parte 2 - Características Gerais dos Moradores,,,,,,VERDADEIRO,VERDADEIRO
PND2T010N0,V2001,01 a 30,,01 a 30,,VERDADEIRO,VERDADEIRO
PND2T011N0,V2003,01 a 30,,01 a 30,,VERDADEIRO,VERDADEIRO
PND2T012N0,V2005,01,Pessoa responsável pelo domicílio ,01,Pessoa responsável pelo domicílio ,VERDADEIRO,VERDADEIRO
,,02,Cônjuge ou companheiro(a) de sexo diferente,02,Cônjuge ou companheiro(a) de sexo diferente,VERDADEIRO,VERDADEIRO
,,03,Cônjuge ou companheiro(a) do mesmo sexo,03,Cônjuge ou companheiro(a) do mesmo sexo,VERDADEIRO,VERDADEIRO
,,04,Filho(a) do responsável e do cônjuge ,04,Filho(a) do responsável e do cônjuge ,VERDADEIRO,VERDADEIRO
,,05,Filho(a) somente do responsável,05,Filho(a) somente do responsável,VERDADEIRO,VERDADEIRO
,,06,Enteado(a),06,Enteado(a),VERDADEIRO,VERDADEIRO
,,07,Genro ou nora,07,Genro ou nora,VERDADEIRO,VERDADEIRO
,,08,"Pai, mãe, padrasto ou madrasta",08,"Pai, mãe, padrasto ou madrasta",VERDADEIRO,VERDADEIRO
,,09,Sogro(a),09,Sogro(a),VERDADEIRO,VERDADEIRO
,,10,Neto(a),10,Neto(a),VERDADEIRO,VERDADEIRO
,,11,Bisneto(a) ,11,Bisneto(a) ,VERDADEIRO,VERDADEIRO
,,12,Irmão ou irmã,12,Irmão ou irmã,VERDADEIRO,VERDADEIRO
,,13,Avô ou avó,13,Avô ou avó,VERDADEIRO,VERDADEIRO
,,14,Outro parente,14,Outro parente,VERDADEIRO,VERDADEIRO
,,15,Agregado(a) - Não parente que não compartilha despesas,15,Agregado(a) - Não parente que não compartilha despesas,VERDADEIRO,VERDADEIRO
,,16,Convivente - Não parente que compartilha despesas,16,Convivente - Não parente que compartilha despesas,VERDADEIRO,VERDADEIRO
,,17,Pensionista,17,Pensionista,VERDADEIRO,VERDADEIRO
,,18,Empregado(a) doméstico(a),18,Empregado(a) doméstico(a),VERDADEIRO,VERDADEIRO
,,19,Parente do(a) empregado(a) doméstico(a),19,Parente do(a) empregado(a) doméstico(a),VERDADEIRO,VERDADEIRO
PND2T013N0,V2007,1,Homem,1,Homem,VERDADEIRO,VERDADEIRO
,,2,Mulher,2,Mulher,VERDADEIRO,VERDADEIRO
PND2T014N0,V2008,01 a 31,Dia de nascimento ,01 a 31,Dia de nascimento ,VERDADEIRO,VERDADEIRO
,,99,Não informado,99,Não informado,VERDADEIRO,VERDADEIRO
PND2T015N0,V20081,01 a 12,Mês,01 a 12,Mês,VERDADEIRO,VERDADEIRO
,,99,Não informado,99,Não informado,VERDADEIRO,VERDADEIRO
PND2T016N0,V20082,Ano de referência - 130 a ano atual,Ano,Ano de referência - 130 a ano atual,Ano,VERDADEIRO,VERDADEIRO
,,9999,Não informado,9999,Não informado,VERDADEIRO,VERDADEIRO
PND2T017N0,V2009,0 a 130,Idade (em anos),0 a 130,Idade (em anos),VERDADEIRO,VERDADEIRO
PND2T018N0,V2010,1,Branca,1,Branca,VERDADEIRO,VERDADEIRO
,,2,Preta,2,Preta,VERDADEIRO,VERDADEIRO
,,3,Amarela,3,Amarela,VERDADEIRO,VERDADEIRO
,,4,Parda ,4,Parda ,VERDADEIRO,VERDADEIRO
,,5,Indígena,5,Indígena,VERDADEIRO,VERDADEIRO
,,9,Ignorado,9,Ignorado,VERDADEIRO,VERDADEIRO
Parte 3 - Características de educação para os moradores de 5 anos ou mais de idade,,,,,,VERDADEIRO,VERDADEIRO
PND2T019N0,V3001,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não ,2,Não ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T020N0,V3002,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não ,2,Não ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T021N0,V3002A,1,Rede privada,1,Rede privada,VERDADEIRO,VERDADEIRO
,,2,Rede pública,2,Rede pública,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T022N0,V3003,01,Pré-escolar (maternal e jardim de infância),01,Pré-escolar (maternal e jardim de infância),VERDADEIRO,VERDADEIRO
,,02,Alfabetização de jovens e adultos,02,Alfabetização de jovens e adultos,VERDADEIRO,VERDADEIRO
,,03,Regular do ensino fundamental ,03,Regular do ensino fundamental ,VERDADEIRO,VERDADEIRO
,,04,Educação de jovens e adultos (EJA) ou supletivo do ensino fundamental,04,Educação de jovens e adultos (EJA) ou supletivo do ensino fundamental,VERDADEIRO,VERDADEIRO
,,05,Regular do ensino médio ,05,Regular do ensino médio ,VERDADEIRO,VERDADEIRO
,,06,Educação de jovens e adultos (EJA) ou supletivo do ensino médio,06,Educação de jovens e adultos (EJA) ou supletivo do ensino médio,VERDADEIRO,VERDADEIRO
,,07,Superior - graduação,07,Superior - graduação,VERDADEIRO,VERDADEIRO
,,08,Mestrado,08,Mestrado,VERDADEIRO,VERDADEIRO
,,09,Doutorado,09,Doutorado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T023N0,V3003A,01,Creche (disponível apenas no questionário anual de educação),01,Creche (disponível apenas no questionário anual de educação),VERDADEIRO,VERDADEIRO
,,02,Pré-escola,02,Pré-escola,VERDADEIRO,VERDADEIRO
,,03,Alfabetização de jovens e adultos,03,Alfabetização de jovens e adultos,VERDADEIRO,VERDADEIRO
,,04,Regular do ensino fundamental ,04,Regular do ensino fundamental ,VERDADEIRO,VERDADEIRO
,,05,Educação de jovens e adultos (EJA) do ensino fundamental,05,Educação de jovens e adultos (EJA) do ensino fundamental,VERDADEIRO,VERDADEIRO
,,06,Regular do ensino médio ,06,Regular do ensino médio ,VERDADEIRO,VERDADEIRO
,,07,Educação de jovens e adultos (EJA) do ensino médio,07,Educação de jovens e adultos (EJA) do ensino médio,VERDADEIRO,VERDADEIRO
,,08,Superior - graduação,08,Superior - graduação,VERDADEIRO,VERDADEIRO
,,09,Especialização de nível superior,09,Especialização de nível superior,VERDADEIRO,VERDADEIRO
,,10,Mestrado,10,Mestrado,VERDADEIRO,VERDADEIRO
,,11,Doutorado,11,Doutorado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T024N0,V3004,1,8 anos,1,8 anos,VERDADEIRO,VERDADEIRO
,,2,9 anos,2,9 anos,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T025N0,V3004A,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T026N0,V3005,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não ,2,Não ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T027N0,V3005A,1,Períodos semestrais,1,Períodos semestrais,VERDADEIRO,VERDADEIRO
,,2,Anos,2,Anos,VERDADEIRO,VERDADEIRO
,,3,Outra forma,3,Outra forma,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T028N0,V3006,01,Primeira (o),01,Primeira (o),VERDADEIRO,VERDADEIRO
,,02,Segunda (o),02,Segunda (o),VERDADEIRO,VERDADEIRO
,,03,Terceira (o),03,Terceira (o),VERDADEIRO,VERDADEIRO
,,04,Quarta (o),04,Quarta (o),VERDADEIRO,VERDADEIRO
,,05,Quinta (o),05,Quinta (o),VERDADEIRO,VERDADEIRO
,,06,Sexta (o),06,Sexta (o),VERDADEIRO,VERDADEIRO
,,07,Sétima (o),07,Sétima (o),VERDADEIRO,VERDADEIRO
,,08,Oitava (o),08,Oitava (o),VERDADEIRO,VERDADEIRO
,,09,Nona (o),09,Nona (o),VERDADEIRO,VERDADEIRO
,,10,Décimo,10,Décimo,VERDADEIRO,VERDADEIRO
,,11,Décimo primeiro,11,Décimo primeiro,VERDADEIRO,VERDADEIRO
,,12,Décimo segundo,12,Décimo segundo,VERDADEIRO,VERDADEIRO
,,13,Curso não classificado em séries ou anos,13,Curso não classificado em séries ou anos,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T029N0,V3006A,1,Anos iniciais (primeiro segmento),1,Anos iniciais (primeiro segmento),VERDADEIRO,VERDADEIRO
,,2,Anos finais (segundo segmento),2,Anos finais (segundo segmento),VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T030N0,V3006B,1,Presencial,1,Presencial,VERDADEIRO,VERDADEIRO
,,2,A distância,2,A distância,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T031N0,V3006C,1,Somente de manhã,1,Somente de manhã,VERDADEIRO,VERDADEIRO
,,2,Somente de tarde,2,Somente de tarde,VERDADEIRO,VERDADEIRO
,,3,Somente de noite,3,Somente de noite,VERDADEIRO,VERDADEIRO
,,4,Manhã e tarde,4,Manhã e tarde,VERDADEIRO,VERDADEIRO
,,5,Outros,5,Outros,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T032N0,V3007,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não ,2,Não ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T033N0,V3008,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não ,2,Não ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T034N0,V3009,01,Classe de alfabetização - CA,01,Classe de alfabetização - CA,VERDADEIRO,VERDADEIRO
,,02,Alfabetização de jovens e adultos,02,Alfabetização de jovens e adultos,VERDADEIRO,VERDADEIRO
,,03,Antigo primário (elementar),03,Antigo primário (elementar),VERDADEIRO,VERDADEIRO
,,04,Antigo ginásio (médio 1º ciclo),04,Antigo ginásio (médio 1º ciclo),VERDADEIRO,VERDADEIRO
,,05,Regular do ensino fundamental ou do 1º grau,05,Regular do ensino fundamental ou do 1º grau,VERDADEIRO,VERDADEIRO
,,06,Educação de jovens e adultos (EJA) ou supletivo do ensino fundamental,06,Educação de jovens e adultos (EJA) ou supletivo do ensino fundamental,VERDADEIRO,VERDADEIRO
,,07,"Antigo científico, clássico, etc. (médio 2º ciclo)",07,"Antigo científico, clássico, etc. (médio 2º ciclo)",VERDADEIRO,VERDADEIRO
,,08,Regular do ensino médio ou do 2º grau,08,Regular do ensino médio ou do 2º grau,VERDADEIRO,VERDADEIRO
,,09,Educação de jovens e adultos (EJA) ou supletivo do ensino médio,09,Educação de jovens e adultos (EJA) ou supletivo do ensino médio,VERDADEIRO,VERDADEIRO
,,10,Superior - graduação,10,Superior - graduação,VERDADEIRO,VERDADEIRO
,,11,Mestrado,11,Mestrado,VERDADEIRO,VERDADEIRO
,,12,Doutorado,12,Doutorado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T035N0,V3009A,01,Creche (disponível apenas no questionário anual de educação),01,Creche (disponível apenas no questionário anual de educação),VERDADEIRO,VERDADEIRO
,,02,Pré-escola,02,Pré-escola,VERDADEIRO,VERDADEIRO
,,03,Classe de alfabetização - CA,03,Classe de alfabetização - CA,VERDADEIRO,VERDADEIRO
,,04,Alfabetização de jovens e adultos,04,Alfabetização de jovens e adultos,VERDADEIRO,VERDADEIRO
,,05,Antigo primário (elementar),05,Antigo primário (elementar),VERDADEIRO,VERDADEIRO
,,06,Antigo ginásio (médio 1º ciclo),06,Antigo ginásio (médio 1º ciclo),VERDADEIRO,VERDADEIRO
,,07,Regular do ensino fundamental ou do 1º grau,07,Regular do ensino fundamental ou do 1º grau,VERDADEIRO,VERDADEIRO
,,08,Educação de jovens e adultos (EJA) ou supletivo do 1º grau,08,Educação de jovens e adultos (EJA) ou supletivo do 1º grau,VERDADEIRO,VERDADEIRO
,,09,"Antigo científico, clássico, etc. (médio 2º ciclo)",09,"Antigo científico, clássico, etc. (médio 2º ciclo)",VERDADEIRO,VERDADEIRO
,,10,Regular do ensino médio ou do 2º grau,10,Regular do ensino médio ou do 2º grau,VERDADEIRO,VERDADEIRO
,,11,Educação de jovens e adultos (EJA) ou supletivo do 2º grau,11,Educação de jovens e adultos (EJA) ou supletivo do 2º grau,VERDADEIRO,VERDADEIRO
,,12,Superior - graduação,12,Superior - graduação,VERDADEIRO,VERDADEIRO
,,13,Especialização de nível superior,13,Especialização de nível superior,VERDADEIRO,VERDADEIRO
,,14,Mestrado,14,Mestrado,VERDADEIRO,VERDADEIRO
,,15,Doutorado,15,Doutorado,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T036N0,V3010,1,8 anos,1,8 anos,VERDADEIRO,VERDADEIRO
,,2,9 anos,2,9 anos,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T037N0,V3011,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não ,2,Não ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T038N0,V3010A,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T039N0,V3011A,1,Períodos semestrais,1,Períodos semestrais,VERDADEIRO,VERDADEIRO
,,2,Anos,2,Anos,VERDADEIRO,VERDADEIRO
,,3,Outra forma,3,Outra forma,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T040N0,V3012,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,3,Curso não classificado em séries ou anos,3,Curso não classificado em séries ou anos,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T041N0,V3013,01,Primeira (o),01,Primeira (o),VERDADEIRO,VERDADEIRO
,,02,Segunda (o),02,Segunda (o),VERDADEIRO,VERDADEIRO
,,03,Terceira (o),03,Terceira (o),VERDADEIRO,VERDADEIRO
,,04,Quarta (o),04,Quarta (o),VERDADEIRO,VERDADEIRO
,,05,Quinta (o),05,Quinta (o),VERDADEIRO,VERDADEIRO
,,06,Sexta (o),06,Sexta (o),VERDADEIRO,VERDADEIRO
,,07,Sétima (o),07,Sétima (o),VERDADEIRO,VERDADEIRO
,,08,Oitava (o),08,Oitava (o),VERDADEIRO,VERDADEIRO
,,09,Nona (o),09,Nona (o),VERDADEIRO,VERDADEIRO
,,10,Décimo,10,Décimo,VERDADEIRO,VERDADEIRO
,,11,Décimo primeiro,11,Décimo primeiro,VERDADEIRO,VERDADEIRO
,,12,Décimo segundo,12,Décimo segundo,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T042N0,V3013A,1,Anos iniciais (primeiro segmento),1,Anos iniciais (primeiro segmento),VERDADEIRO,VERDADEIRO
,,2,Anos finais (segundo segmento),2,Anos finais (segundo segmento),VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T043N0,V3013B,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não,2,Não,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T044N0,V3014,1,Sim,1,Sim,VERDADEIRO,VERDADEIRO
,,2,Não ,2,Não ,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T045N0,V3017,1,Somente na rede privada,1,Somente na rede privada,VERDADEIRO,VERDADEIRO
,,2,Somente na rede pública,2,Somente na rede pública,VERDADEIRO,VERDADEIRO
,,3,Na rede privada e pública,3,Na rede privada e pública,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T046N0,V3017A,1,Somente na rede privada,1,Somente na rede privada,VERDADEIRO,VERDADEIRO
,,2,Somente na rede pública,2,Somente na rede pública,VERDADEIRO,VERDADEIRO
,,3,Na rede privada e pública,3,Na rede privada e pública,VERDADEIRO,VERDADEIRO
,,,Não aplicável,,Não aplicável,VERDADEIRO,VERDADEIRO
PND2T047N0,V3018,1,Somente na rede privada,1,Somente na rede privada,VERDADEIRO,VERDADEIRO
,,2,Somente na rede pública,2,Somente na rede pública,VERDADEIRO,VERDADEIRO
,,3,Na rede privada e pública,3,Na rede privada e pública,VERDADEIRO,VERDADEIRO
